structure,viscosity,angle,sin,sin_err,force,force_err,Ca,friction,v,Ca_err,friction_err,v_err,kind
rods,20,2.0,0.03489949670250097,0.003488532089142466,3.276707404178658,0.327537643985244,0.0003212576619865241,1.579450275152284,0.6763319199716298,1.2549083625169897e-05,0.04134542361312188,0.026419123421410316,first
rods,20,3.0,0.052335956242943835,0.0034858746778252915,4.91381342223583,0.3272881401195247,0.0005143907381210159,2.1617651286296935,1.0829278697284546,1.8973573745659506e-05,0.05304753633815974,0.0399443657803358,first
rods,20,5.0,0.08715574274765817,0.0034773754945223666,8.183036850427598,0.32649015334350995,0.0007862098859356278,2.868691126482394,1.6551787072329005,1.603391896418147e-05,0.03907930021315976,0.03375561887196099,first
rods,20,10.0,0.17364817766693033,0.003437627557846027,16.303795849370697,0.32275822679114646,0.0029263171393877287,6.888923892659644,6.160667661868903,0.00011597137442097222,0.18102520070236386,0.24415026193888886,first
rods,20,15.0,0.25881904510252074,0.003371717199758209,24.300473117398994,0.31656991524615663,0.005789185960249422,10.856600552373957,12.18775991631457,0.00020895198388380933,0.2611681643474144,0.43989891343959864,first
rods,20,20.0,0.3420201433256687,0.0032801460378817215,32.112209111977045,0.30797231549600246,0.011609368093323831,17.26436767231149,24.440774933313328,0.0004327425777979478,0.42816883962822966,0.9110370058904165,first
rods,20,25.0,0.42261826174069944,0.0031636109840506247,39.67955180533095,0.2970308604661553,0.01661531150216512,21.926733487474195,34.97960316245288,0.0004982826404641253,0.43766416059976027,1.0490160851876322,first
rods,20,30.0,0.49999999999999994,0.0030229989403903635,46.94490915027783,0.28382882123602354,0.025152872606052295,28.911362043111573,52.95341601274168,0.00012397974341207718,0.09498753952645633,0.26100998613068915,first
rods,20,35.0,0.573576436351046,0.002859380049457064,53.85298739047995,0.26846667329575763,0.03337911012132637,34.91260428823393,70.27181078173973,0.0005312046992260815,0.3713464000473974,1.1183256825812251,first
rods,20,40.0,0.6427876096865393,0.0026739995498065174,60.351211879317674,0.25106133186710156,0.03913700064045556,38.8156047639219,82.39368555885382,0.0014054780289302017,0.9369676624222365,2.958901113537267,first
rods,20,45.0,0.7071067811865475,0.00246826829897687,66.39012720469572,0.23174526210795998,0.05806026351165559,50.48919995032549,122.23213370874859,0.002131573736143462,1.2423176268800147,4.487523655038866,first
rods,20,2.0,0.03489949670250097,0.003488532089142466,3.276707404178658,0.327537643985244,0.0004157040581162553,1.8752390757587833,0.8751664381394849,2.263311183601939e-05,0.06835603826630184,0.04764865649688292,plateau
rods,20,5.0,0.08715574274765817,0.0034773754945223666,8.183036850427598,0.32649015334350995,0.0010531674175407644,3.4859497085819506,2.2171945632437144,2.255447631809282e-05,0.04987372369290604,0.04748310803809018,plateau
rods,20,10.0,0.17364817766693033,0.003437627557846027,16.303795849370697,0.32275822679114646,0.003696254575498479,8.048632704510371,7.781588579996798,0.00019242263006288816,0.279254733985067,0.40510027381660657,plateau
rods,20,15.0,0.25881904510252074,0.003371717199758209,24.300473117398994,0.31656991524615663,0.006804982996413369,12.09188000532275,14.326279992449198,0.0002561902443070844,0.3043933925650816,0.5393478827517566,plateau
rods,20,20.0,0.3420201433256687,0.0032801460378817215,32.112209111977045,0.30797231549600246,0.012374071498724234,18.015548761239977,26.050676839419438,0.0003516438555435493,0.34123912004262086,0.7403028537758931,plateau
rods,20,25.0,0.42261826174069944,0.0031636109840506247,39.67955180533095,0.2970308604661553,0.017224088522208678,22.46072813627516,36.26123899412354,0.0002677245115121021,0.23282166413853023,0.5636305505517938,plateau
rods,20,30.0,0.49999999999999994,0.0030229989403903635,46.94490915027783,0.28382882123602354,0.024836363041316544,28.66789947417468,52.2870800869822,0.0003094456131716259,0.23772964105738084,0.6514644487823701,plateau
rods,20,35.0,0.573576436351046,0.002859380049457064,53.85298739047995,0.26846667329575763,0.0334528283984102,34.961785011066645,70.4270071545478,0.0009562879835368146,0.6677307828413206,2.0132378600775045,plateau
rods,20,40.0,0.6427876096865393,0.0026739995498065174,60.351211879317674,0.25106133186710156,0.04314423153966697,41.42051115665005,90.829961136141,0.0017316314954758205,1.1086693316387484,3.645539990475412,plateau
rods,20,45.0,0.7071067811865475,0.00246826829897687,66.39012720469572,0.23174526210795998,0.061956944936888365,52.717326710635,130.43567355134394,0.0030445330397775613,1.7361738109070297,6.40954324163697,plateau
