structure,vol_trace,vol_probe,probe_diam,probe_diam_err,trace_diam,trace_diam_err,max_adv,max_rec,min_adv,min_rec,spacing,max_adv_err,max_rec_err,min_adv_err,min_rec_err,spacing_err
SNFs,10,20,3.9041397863434395,0.13865512778174155,2.863065812663887,0.1278768098891715,2.357048285574617,-1.456722509249781,5.150346656378041,1.3830874894606175,2.8268604999750337,0.21142071720005867,0.051947150469239214,0.24063146459808635,0.0430409719228835,0.07766520851137942
rods,15,10,2.9776158860875452,0.023364998681712726,3.419659544461864,0.0464619140208919,1.4099424165305254,-1.5783570629392223,4.583128832995807,1.5947865655285984,3.176135319063384,0.10553075790604584,0.10154678544668148,0.13363387679223498,0.11186484495377215,0.03467250950129147
