structure,t_int,v_norm,v_norm_err
SNFs,20,1.4193570093994619,0.05593832526555839
SNFs,30,1.2686201438370455,0.04674667851367671
SNFs,60,1.3292196035138357,0.04333877993515377
SNFs,120,1.2711947233192353,0.04170913971036553
