structure,viscosity,kind,angle_low,angle_high,score,prefactor_low,prefactor_low_err,r_adj_low,prefactor_high,prefactor_high_err,r_adj_high
rods,20,first,15.0,20.0,3.2032275956837486,2.357792824975321,0.10463331933034349,0.9831896494943083,8.917487772462627,0.19901910283165683,0.9046107619417934
rods,20,plateau,25.0,30.0,3.0817358160983974,1.8340240599901385,0.059394390199712474,0.9848433891784459,8.977202167005796,0.13104353343125313,0.9501108745528231
