droplet,t,x,x_rec,x_adv
1,3.09,2.132451093058557,0.6688191881918819,3.5285977859778597
1,3.095,2.2183653760665556,0.6918819188191881,3.6900369003690034
1,3.1,2.2955419846659817,0.761070110701107,3.7592250922509223
1,3.105,2.3639150672315976,0.8302583025830258,3.805350553505535
1,3.11,2.419580834564327,0.8994464944649446,3.874538745387454
1,3.115,2.466677413455727,0.9455719557195572,3.9437269372693726
1,3.12,2.516569486106379,0.9916974169741697,3.9667896678966788
1,3.125,2.5628445627085754,1.0378228782287824,4.012915129151292
1,3.13,2.6082993112297195,1.0839483394833949,4.059040590405904
1,3.135,2.6539843087673907,1.1300738007380073,4.105166051660516
1,3.14,2.699612782980419,1.1761992619926198,4.1512915129151295
1,3.145,2.7449221299451514,1.2223247232472325,4.197416974169742
1,3.15,2.788548559329293,1.268450184501845,4.243542435424354
1,3.155,2.8332903168846797,1.3145756457564575,4.289667896678967
1,3.16,2.8770814718464686,1.3607011070110702,4.3357933579335795
1,3.165,2.921833670227559,1.4068265682656826,4.381918819188192
1,3.17,2.9670912628014987,1.4529520295202951,4.428044280442805
1,3.175,3.0088270507005626,1.4990774907749078,4.474169741697417
1,3.18,3.050551026410073,1.5452029520295203,4.520295202952029
1,3.185,3.0957086546650454,1.5913284132841328,4.543357933579336
1,3.19,3.1394707089016656,1.6374538745387455,4.589483394833948
1,3.195,3.183926308436616,1.683579335793358,4.63560885608856
1,3.2,3.2278894393274635,1.7066420664206643,4.681734317343174
1,3.205,3.272186913346618,1.7527675276752768,4.727859778597786
1,3.21,3.315498580093473,1.7988929889298892,4.773985239852398
1,3.215,3.359372861378491,1.8450184501845017,4.820110701107011
1,3.22,3.4016413414960107,1.868081180811808,4.8662361623616235
1,3.225,3.439867735327568,1.868081180811808,4.912361623616236
1,3.23,3.478057640382815,1.868081180811808,4.935424354243542
1,3.235,3.515772480093222,1.868081180811808,4.981549815498155
1,3.24,3.552511553276784,1.868081180811808,5.027675276752768
