droplet,t,x,x_rec,x_adv
1,3.966,4.185083667074501,2.7365491651205933,5.6354359925788495
1,3.968,4.217910286034571,2.7597402597402594,5.612244897959183
1,3.97,4.254455785920264,2.7829313543599254,5.658627087198515
1,3.972,4.293227118923194,2.7829313543599254,5.705009276437847
1,3.974,4.327498381469103,2.7829313543599254,5.7977736549165115
1,3.976,4.357876481652577,2.8293135435992576,5.844155844155844
1,3.978,4.389838528141818,2.8525046382189236,5.86734693877551
1,3.98,4.4164928819996785,2.8756957328385897,5.86734693877551
1,3.982,4.443343204496259,2.8988868274582558,5.890538033395176
1,3.984,4.467936289268544,2.945269016697588,5.913729128014842
1,3.986,4.488475639374661,2.968460111317254,5.936920222634508
1,3.988,4.511002816015027,2.99165120593692,5.9601113172541735
1,3.99,4.52848037664945,2.99165120593692,5.98330241187384
1,3.992,4.547516634375966,2.99165120593692,6.006493506493506
1,3.994,4.563164414182874,3.014842300556586,6.029684601113172
1,3.996,4.583318794104035,3.014842300556586,6.052875695732838
1,3.998,4.594420206022386,3.014842300556586,6.052875695732838
1,4.0,4.612017537169633,3.014842300556586,6.076066790352504
1,4.002,4.627597409112669,3.014842300556586,6.09925788497217
1,4.004,4.6427956906278265,3.014842300556586,6.122448979591836
1,4.006,4.654522070456367,3.014842300556586,6.145640074211502
1,4.008,4.67033020154032,3.014842300556586,6.145640074211502
1,4.01,4.685212641408007,3.038033395176252,6.1688311688311686
1,4.012,4.727982005206907,3.2003710575139146,6.192022263450834
1,4.014,4.743310757601803,3.2235621521335807,6.215213358070501
1,4.016,4.762512712594919,3.2467532467532467,6.215213358070501
1,4.018,4.77935649665261,3.2467532467532467,6.238404452690166
1,4.02,4.796427555520019,3.2699443413729123,6.261595547309833
1,4.022,4.812514649090925,3.2931354359925784,6.284786641929498
1,4.024,4.831515959910701,3.3163265306122445,6.284786641929498
1,4.026,4.8479040942842095,3.3395176252319105,6.307977736549165
1,4.028,4.8640566003051156,3.3395176252319105,6.331168831168831
1,4.03,4.880082338713116,3.3627087198515766,6.331168831168831
1,4.032,4.89710635942357,3.3858998144712427,6.354359925788497
1,4.034,4.915090818447687,3.4090909090909087,6.377551020408163
1,4.036,4.929225992444602,3.4090909090909087,6.400742115027829
1,4.038,4.947694426404865,3.432282003710575,6.400742115027829
1,4.04,4.963881033597145,3.455473098330241,6.423933209647495
1,4.042,4.9807891455596245,3.478664192949907,6.447124304267161
1,4.044,4.99772832368073,3.478664192949907,6.470315398886827
1,4.046,5.0126012640362205,3.501855287569573,6.470315398886827
1,4.048,5.029981391172754,3.525046382189239,6.4935064935064934
1,4.05,5.0449122689599,3.525046382189239,6.516697588126159
1,4.052,5.064097076062171,3.548237476808905,6.516697588126159
1,4.054,5.079920225666023,3.571428571428571,6.539888682745825
1,4.056,5.096663224942254,3.571428571428571,6.563079777365491
1,4.058,5.113162141039496,3.5946196660482372,6.563079777365491
1,4.06,5.129154678307903,3.6178107606679033,6.586270871985157
1,4.062,5.146378716951969,3.6178107606679033,6.609461966604823
1,4.064,5.161326885881481,3.6410018552875694,6.609461966604823
1,4.066,5.180109133476594,3.6641929499072354,6.632653061224489
1,4.068,5.195215740470703,3.6873840445269015,6.6558441558441555
1,4.07,5.208803924812553,3.6873840445269015,6.679035250463821
1,4.072,5.227979746188373,3.7105751391465676,6.679035250463821
1,4.074,5.242890684779304,3.7337662337662336,6.702226345083488
1,4.076,5.259933179070358,3.7569573283858997,6.725417439703153
1,4.078,5.276565652382022,3.7569573283858997,6.74860853432282
1,4.08,5.295892265351891,3.7801484230055657,6.74860853432282
1,4.082,5.311321872367963,3.803339517625232,6.771799628942485
1,4.084,5.326629777179227,3.803339517625232,6.794990723562152
1,4.086,5.344285496133247,3.826530612244898,6.794990723562152
1,4.088,5.358846702759507,3.849721706864564,6.8181818181818175
1,4.09,5.375289739268868,3.849721706864564,6.841372912801484
1,4.092,5.392231518024491,3.8729128014842296,6.86456400742115
1,4.094,5.408560909341444,3.8961038961038956,6.86456400742115
1,4.096,5.424520539289249,3.9192949907235617,6.887755102040816
1,4.098,5.44226719513112,3.9192949907235617,6.910946196660482
1,4.1,5.459998830534545,3.9424860853432278,6.910946196660482
1,4.102,5.4741849492268315,3.965677179962894,6.934137291280148
1,4.104,5.489677413312488,3.965677179962894,6.957328385899814
1,4.106,5.507189326055565,3.98886827458256,6.957328385899814
1,4.108,5.522190123414548,4.012059369202226,6.98051948051948
1,4.11,5.538543753362487,4.0352504638218925,7.003710575139146
1,4.112,5.554846031068276,4.0352504638218925,7.0269016697588125
1,4.114,5.5727563538990275,4.058441558441558,7.0269016697588125
1,4.116,5.587015959246944,4.081632653061225,7.050092764378478
1,4.118,5.602029109531644,4.081632653061225,7.073283858998145
1,4.12,5.6225270016913145,4.10482374768089,7.073283858998145
1,4.122,5.639673120906242,4.10482374768089,7.142857142857142
1,4.124,5.650344228964875,4.128014842300557,7.119666048237477
1,4.126,5.669379900040543,4.151205936920222,7.119666048237477
1,4.128,5.686550249707582,4.174397031539888,7.142857142857142
1,4.13,5.701760097137217,4.1975881261595545,7.166048237476808
1,4.132,5.717134043395366,4.1975881261595545,7.1892393320964745
1,4.134,5.736484083816664,4.22077922077922,7.1892393320964745
1,4.136,5.749664943263132,4.22077922077922,7.21243042671614
1,4.138,5.76512878145782,4.243970315398887,7.235621521335807
1,4.14,5.783733116602463,4.267161410018552,7.235621521335807
1,4.142,5.799384319457644,4.290352504638219,7.258812615955472
1,4.144,5.815444594225511,4.313543599257884,7.282003710575139
1,4.146,5.831860127536397,4.313543599257884,7.282003710575139
1,4.148,5.849390009946774,4.336734693877551,7.305194805194804
1,4.15,5.863575102270794,4.3599257884972165,7.328385899814471
1,4.152,5.878545972392337,4.3599257884972165,7.328385899814471
1,4.154,5.8972152533345925,4.383116883116883,7.3515769944341365
1,4.156,5.911216614915089,4.406307977736549,7.374768089053803
1,4.158,5.927056744836948,4.406307977736549,7.397959183673469
1,4.16,5.945017795328851,4.429499072356215,7.397959183673469
1,4.162,5.959695923581423,4.452690166975881,7.421150278293135
1,4.164,5.974035389716936,4.452690166975881,7.444341372912801
1,4.166,5.992178260866833,4.475881261595547,7.444341372912801
1,4.168,6.008705422772388,4.499072356215213,7.467532467532467
1,4.17,6.025377265387322,4.499072356215213,7.490723562152133
1,4.172,6.041108449775182,4.522263450834879,7.513914656771799
1,4.174,6.05971943710841,4.545454545454545,7.513914656771799
1,4.176,6.074303398877846,4.5686456400742115,7.537105751391465
1,4.178,6.0892321163183425,4.5686456400742115,7.5602968460111315
1,4.18,6.10753487051494,4.591836734693877,7.5602968460111315
1,4.182,6.122075129342282,4.615027829313544,7.583487940630797
1,4.184,6.137241902948708,4.615027829313544,7.606679035250464
1,4.186,6.156369073888078,4.638218923933209,7.606679035250464
1,4.188,6.171565843168258,4.661410018552876,7.629870129870129
1,4.19,6.184189851646732,4.661410018552876,7.653061224489796
1,4.192,6.203048939852671,4.684601113172541,7.653061224489796
1,4.194,6.221473259630852,4.707792207792208,7.676252319109461
1,4.196,6.236886364057367,4.7309833024118735,7.699443413729128
1,4.198,6.250897370449136,4.7309833024118735,7.699443413729128
1,4.2,6.2698904080172575,4.754174397031539,7.7226345083487935
1,4.202,6.286139445471309,4.777365491651206,7.745825602968459
1,4.204,6.302012037056107,4.800556586270871,7.769016697588126
1,4.206,6.3184137291280145,4.800556586270871,7.769016697588126
1,4.208,6.333818546132317,4.823747680890538,7.792207792207791
1,4.21,6.350509816716802,4.846938775510203,7.815398886827458
1,4.212,6.366167405397387,4.846938775510203,7.815398886827458
1,4.214,6.384650545864893,4.87012987012987,7.838589981447123
1,4.216,6.398411974581836,4.8933209647495355,7.86178107606679
1,4.218,6.4128770766334355,4.8933209647495355,7.86178107606679
1,4.22,6.432922525567503,4.916512059369202,7.8849721706864555
1,4.222,6.4484535539605545,4.939703153988868,7.908163265306122
1,4.224,6.46522603188404,4.939703153988868,7.908163265306122
1,4.226,6.48104037610281,4.962894248608534,7.931354359925788
1,4.228,6.496036356040169,4.9860853432282,7.954545454545454
1,4.23,6.511939963780078,5.009276437847866,7.97773654916512
1,4.232,6.526666485233401,5.009276437847866,7.97773654916512
1,4.234,6.54330958184713,5.032467532467532,8.000927643784786
1,4.236,6.559737755188062,5.055658627087198,8.024118738404452
1,4.238,6.575254626186003,5.055658627087198,8.024118738404452
1,4.24,6.591725436614776,5.078849721706864,8.047309833024118
1,4.242,6.6070475184545625,5.1020408163265305,8.070500927643785
1,4.244,6.622368379650341,5.1020408163265305,8.070500927643785
1,4.246,6.638640138556163,5.125231910946196,8.09369202226345
1,4.248,6.654479099425457,5.148423005565863,8.116883116883116
1,4.25,6.6691314553641945,5.148423005565863,8.140074211502782
1,4.252,6.685290212899331,5.171614100185528,8.140074211502782
