droplet,t,x,x_rec,x_adv
1,3.47,3.964068326722085,2.53690036900369,5.350553505535055
1,3.475,4.058462626676464,2.559963099630996,5.465867158671586
1,3.48,4.138441591400387,2.606088560885609,5.627306273062731
1,3.485,4.2105444429803915,2.6752767527675276,5.650369003690037
1,3.49,4.27416382542954,2.7675276752767526,5.719557195571956
1,3.495,4.326410307165817,2.8136531365313653,5.788745387453875
1,3.5,4.3776183733017415,2.859778597785978,5.834870848708487
1,3.505,4.424475141888758,2.9059040590405902,5.880996309963099
1,3.51,4.471563383588601,2.952029520295203,5.927121771217712
1,3.515,4.517736316864362,2.9981549815498156,5.973247232472325
1,3.52,4.563749305446723,3.044280442804428,6.019372693726937
1,3.525,4.6098441644418715,3.0904059040590406,6.06549815498155
1,3.53,4.65594180694704,3.1365313653136533,6.111623616236162
1,3.535,4.7013540409283285,3.1826568265682655,6.157749077490775
1,3.54,4.746485956415348,3.2287822878228782,6.203874538745388
1,3.545,4.791924959108577,3.274907749077491,6.25
1,3.55,4.837519323194597,3.321033210332103,6.296125461254612
1,3.555,4.8800700340355725,3.367158671586716,6.342250922509225
1,3.56,4.924505188434656,3.4132841328413286,6.388376383763838
1,3.565,4.969232594378981,3.459409594095941,6.43450184501845
1,3.57,5.014976025665382,3.5055350553505535,6.4575645756457565
1,3.575,5.059628796151069,3.5516605166051662,6.503690036900369
1,3.58,5.102741302818664,3.5977859778597785,6.549815498154982
1,3.585,5.147691316040379,3.643911439114391,6.595940959409594
1,3.59,5.19160162561653,3.6900369003690034,6.642066420664206
1,3.595,5.235990009345012,3.736162361623616,6.6881918819188195
1,3.6,5.278895570886022,3.7592250922509223,6.734317343173432
1,3.605,5.3238264230029575,3.805350553505535,6.780442804428044
1,3.61,5.3682316074242005,3.8514760147601477,6.826568265682657
1,3.615,5.411565110098709,3.89760147601476,6.872693726937269
1,3.62,5.454340833960822,3.9437269372693726,6.918819188191882
1,3.625,5.499051536708695,3.9898523985239853,6.941881918819188
1,3.63,5.543128555181123,4.035977859778598,6.9880073800738005
1,3.635,5.586341457744532,4.082103321033211,7.034132841328414
1,3.64,5.628855785226037,4.128228782287823,7.080258302583026
1,3.645,5.6723007839973185,4.174354243542435,7.126383763837638
1,3.65,5.715300799546478,4.197416974169742,7.172509225092251
1,3.655,5.758352397262865,4.243542435424354,7.218634686346864
1,3.66,5.800060371133569,4.289667896678967,7.264760147601476
1,3.665,5.844299124848317,4.3357933579335795,7.287822878228782
1,3.67,5.886533028912293,4.381918819188192,7.333948339483395
1,3.675,5.928526829652045,4.428044280442805,7.380073800738007
1,3.68,5.971928212569188,4.474169741697417,7.42619926199262
1,3.685,6.014877482459094,4.497232472324723,7.472324723247232
1,3.69,6.058524530838064,4.543357933579336,7.5184501845018445
1,3.695,6.099763459712609,4.589483394833948,7.564575645756458
1,3.7,6.14390565073867,4.63560885608856,7.587638376383763
1,3.705,6.187647500583422,4.681734317343174,7.6337638376383765
1,3.71,6.228660799936776,4.727859778597786,7.679889298892989
1,3.715,6.271531168167116,4.773985239852398,7.726014760147601
1,3.72,6.314019675856158,4.797047970479705,7.772140221402214
1,3.725,6.354857390580069,4.843173431734317,7.818265682656826
1,3.73,6.398475431199186,4.88929889298893,7.841328413284133
1,3.735,6.44209605051516,4.935424354243542,7.887453874538745
1,3.74,6.481999243069354,4.981549815498155,7.9335793357933575
1,3.745,6.5223514897375745,5.004612546125461,7.979704797047971
1,3.75,6.56276209543101,5.050738007380073,8.025830258302584
1,3.755,6.605711794198708,5.0968634686346865,8.04889298892989
1,3.76,6.646273896518514,5.142988929889299,8.095018450184503
1,3.765,6.685746927399343,5.142988929889299,8.187269372693727
1,3.77,6.727813546473915,5.189114391143911,8.23339483394834
1,3.775,6.767150232526621,5.25830258302583,8.210332103321033
1,3.78,6.804987620015167,5.281365313653136,8.256457564575646
1,3.785,6.846316021170789,5.304428044280443,8.34870848708487
1,3.79,6.886061065462867,5.373616236162362,8.34870848708487
1,3.795,6.924302429388189,5.419741697416974,8.371771217712178
1,3.8,6.9658276317902,5.442804428044281,8.41789667896679
1,3.805,7.0048254045834115,5.488929889298893,8.464022140221402
1,3.81,7.04449224240774,5.535055350553505,8.510147601476016
1,3.815,7.083612666582998,5.581180811808118,8.533210332103321
1,3.82,7.123593568283103,5.604243542435424,8.579335793357934
1,3.825,7.165721999002956,5.650369003690037,8.625461254612546
1,3.83,7.204743515757074,5.696494464944649,8.648523985239853
1,3.835,7.244193468873114,5.742619926199262,8.694649446494465
1,3.84,7.28435159145309,5.765682656826568,8.740774907749078
1,3.845,7.323914901771762,5.8118081180811805,8.78690036900369
1,3.85,7.3666766805162345,5.857933579335794,8.809963099630997
1,3.855,7.405068510815155,5.904059040590406,8.85608856088561
1,3.86,7.446020143158111,5.927121771217712,8.902214022140221
1,3.865,7.485124042970826,5.973247232472325,8.948339483394834
1,3.87,7.5276263442495255,6.019372693726937,8.97140221402214
1,3.875,7.565071830363968,6.06549815498155,9.017527675276753
1,3.88,7.601438328845299,6.088560885608856,9.063653136531364
1,3.885,7.63243023816326,6.134686346863469,9.086715867158672
1,3.89,7.668887574800153,6.157749077490775,9.132841328413283
1,3.895,7.707510487785189,6.203874538745388,9.15590405904059
1,3.9,7.747853184320448,6.226937269372693,9.202029520295202
1,3.905,7.789472093438883,6.25,9.294280442804428
1,3.91,7.828764941945736,6.319188191881919,9.294280442804428
1,3.915,7.867390276108769,6.365313653136531,9.317343173431734
1,3.92,7.906145160648462,6.388376383763838,9.363468634686347
1,3.925,7.945186611540771,6.43450184501845,9.409594095940959
1,3.93,7.985485164037408,6.480627306273063,9.432656826568266
1,3.935,8.025367715930022,6.526752767527675,9.478782287822877
1,3.94,8.061174415266645,6.549815498154982,9.52490774907749
1,3.945,8.101661986417948,6.595940959409594,9.571033210332104
1,3.95,8.140415909597282,6.642066420664206,9.59409594095941
1,3.955,8.179301243317502,6.665129151291513,9.640221402214022
1,3.96,8.219221124718528,6.711254612546125,9.686346863468634
1,3.965,8.258254882446208,6.757380073800738,9.709409594095941
1,3.97,8.292837703128658,6.780442804428044,9.755535055350553
1,3.975,8.333884827690873,6.826568265682657,9.77859778597786
