droplet,t,x,x_rec,x_adv
1,6.99,5.253788216232802,3.4195933456561924,7.024029574861368
1,6.995,5.2687364712013505,3.442698706099815,7.0471349353049915
1,7.0,5.2826494348201765,3.442698706099815,7.070240295748614
1,7.005,5.296360899900932,3.465804066543438,7.070240295748614
1,7.01,5.3127278863938345,3.465804066543438,7.093345656192237
1,7.015,5.32679809689191,3.4889094269870613,7.116451016635859
1,7.02,5.341113073685298,3.512014787430684,7.116451016635859
1,7.025,5.356631605169094,3.512014787430684,7.139556377079483
1,7.03,5.37055192300588,3.535120147874307,7.162661737523106
1,7.035,5.383903505056709,3.535120147874307,7.162661737523106
1,7.04,5.397648737206489,3.5582255083179297,7.185767097966728
1,7.045,5.411330091213041,3.581330868761553,7.208872458410352
1,7.05,5.427350730944851,3.581330868761553,7.208872458410352
1,7.055,5.441186476563854,3.604436229205176,7.2319778188539745
1,7.06,5.454770671172552,3.604436229205176,7.2319778188539745
1,7.065,5.467632306565283,3.6275415896487986,7.255083179297597
1,7.07,5.483789945471878,3.6506469500924217,7.278188539741221
1,7.075,5.499100039706205,3.6506469500924217,7.278188539741221
1,7.08,5.511765321299536,3.6737523105360443,7.301293900184843
1,7.085,5.525502836903561,3.6968576709796674,7.301293900184843
1,7.09,5.5402879687001,3.6968576709796674,7.324399260628466
1,7.095,5.553824424319375,3.7199630314232905,7.347504621072089
1,7.1,5.567896481934709,3.7199630314232905,7.347504621072089
1,7.105,5.582091591759015,3.743068391866913,7.370609981515712
1,7.11,5.595563082915938,3.7661737523105363,7.370609981515712
1,7.115,5.612041727155744,3.7661737523105363,7.393715341959335
1,7.12,5.6258285904023095,3.789279112754159,7.4168207024029575
1,7.125,5.639624812209694,3.812384473197782,7.4168207024029575
1,7.13,5.653481406590932,3.812384473197782,7.439926062846581
1,7.135,5.666031115659823,3.835489833641405,7.439926062846581
1,7.14,5.683238302611901,3.835489833641405,7.463031423290204
1,7.145,5.697320785369488,3.858595194085028,7.486136783733826
1,7.15,5.71115582724696,3.881700554528651,7.486136783733826
1,7.155,5.727194341369794,3.881700554528651,7.509242144177449
1,7.16,5.740609805114868,3.9048059149722736,7.532347504621073
1,7.165,5.7549705507463065,3.9048059149722736,7.532347504621073
1,7.17,5.768947503825139,3.9279112754158967,7.555452865064695
1,7.175,5.782813368645382,3.95101663585952,7.555452865064695
1,7.18,5.799378381516559,3.95101663585952,7.578558225508318
1,7.185,5.812850478052926,3.9741219963031424,7.6016635859519415
1,7.19,5.827492617351131,3.9972273567467655,7.6016635859519415
1,7.195,5.844915532818225,3.9972273567467655,7.624768946395564
