droplet,t,x,x_rec,x_adv,v,a,t_int_exp
1,6.4,3.204839636795817,1.3632162661737524,4.990757855822551,5.834359956607886,-21.399544355781792,
1,6.405,3.2614616944167163,1.50184842883549,5.013863216266174,5.811733329704122,-21.44843230435355,
1,6.41,3.3259035016383405,1.50184842883549,5.06007393715342,5.764507347143172,-21.528091133870852,
1,6.415,3.384230800460436,1.5480591497227358,5.152495378927911,5.6930623377253,-21.62890535083246,
1,6.42,3.423275759576077,1.5711645101663587,5.1987060998151575,5.599031145679386,-21.738660564416325,
1,6.425,3.45648208677096,1.5942698706099816,5.22181146025878,5.485751699235316,-21.8427207609376,
1,6.43,3.478827093602802,1.6173752310536045,5.268022181146026,5.356723892659809,-21.92657033748689,
1,6.435,3.49611372025772,1.6404805914972274,5.291127541589649,5.215962218344132,-21.975416967307257,
1,6.44,3.509867747594997,1.6635859519408505,5.314232902033272,5.067215631143825,-21.976169584528147,
1,6.445,3.5265369012115806,1.6635859519408505,5.314232902033272,4.913858807385921,-21.91607419623214,
1,6.45,3.5431246113036323,1.6866913123844731,5.337338262476895,4.758705419805517,-21.785928838234224,
1,6.455,3.5584830501464872,1.7097966728280962,5.360443622920518,4.604201250288827,-21.577179544941743,
1,6.46,3.574625920480199,1.732902033271719,5.360443622920518,4.452369621093395,-21.284171144255705,
1,6.465,3.5914690952695647,1.732902033271719,5.383548983364141,4.304832590359734,-20.903626797384078,
1,6.47,3.610116501047483,1.756007393715342,5.406654343807763,4.163098323977536,-20.434000089980838,
1,6.475,3.622805361217192,1.7791127541589649,5.406654343807763,4.028070354568339,-19.87610767164413,
1,6.48,3.638704359650398,1.802218114602588,5.429759704251387,3.900926062572848,-19.232795149950146,
1,6.485,3.656485234237952,1.802218114602588,5.452865064695009,3.7821277285243715,-18.50837628901032,
1,6.49,3.66753249469614,1.8253234750462108,5.452865064695009,3.6721833454586674,-17.709076268491508,
1,6.495,3.684634143356361,1.8484288354898335,5.475970425138632,3.571584961993271,-16.84208703999056,
1,6.5,3.701742236827688,1.8253234750462108,5.545286506469501,3.480287093189901,-15.915645049225033,
1,6.505,3.7140162769495935,1.8715341959334568,5.499075785582256,3.3982537597603995,-14.939439315846538,
1,6.51,3.7292472824727567,1.8946395563770797,5.522181146025878,3.32562469612319,-13.922401470650733,
1,6.515,3.745484910032815,1.8946395563770797,5.545286506469501,3.2620209553007165,-12.875477935483742,
1,6.52,3.760180367554897,1.9177449168207024,5.545286506469501,3.207190966672761,-11.808522997396443,
1,6.525,3.775690771902917,1.9177449168207024,5.5683918669131245,3.1607365183677953,-10.73172694586055,
1,6.53,3.7920942920195393,1.9408502772643252,5.591497227356747,3.12230595074902,-9.655340638995062,
1,6.535,3.808903102024365,1.9408502772643252,5.591497227356747,3.091459913242759,-8.589008340384417,
1,6.54,3.822056645328431,1.9408502772643252,5.61460258780037,3.067784021764223,-7.541593356476005,
1,6.545,3.836325330717278,1.9408502772643252,5.6377079482439925,3.0510301693009634,-6.52229049797401,
1,6.55,3.849798263846436,1.9408502772643252,5.6377079482439925,3.040730571376145,-5.538278662821361,
1,6.555,3.862967445006382,1.9408502772643252,5.660813308687616,3.036492991606771,-4.597285889433564,
1,6.56,3.876830717770249,1.9408502772643252,5.683918669131239,3.0377806210540226,-3.705122513668497,
1,6.565,3.8899260954440815,1.9408502772643252,5.683918669131239,3.0438999555132855,-2.8676076693031156,
1,6.57,3.9048885481397546,1.9408502772643252,5.707024029574861,3.0541966986922637,-2.088490024963751,
1,6.575,3.919971008307452,1.9408502772643252,5.730129390018485,3.0677827625779273,-1.3718413710707604,
1,6.58,3.934733858539352,1.9408502772643252,5.730129390018485,3.0838398169948253,-0.7192021849996325,
1,6.585,3.949087831318018,1.9408502772643252,5.753234750462108,3.1014875196741833,-0.13257044312662075,
1,6.59,3.978382498909788,2.148798521256932,5.753234750462108,3.1200037696599647,0.38845609966642786,
1,6.595,3.9961594923689545,2.148798521256932,5.77634011090573,3.13817430717415,0.8436410873665569,
1,6.6,4.013302650952186,2.1719038817005547,5.799445471349354,3.1559704059202622,1.2355038859134637,
1,6.605,4.026656461972417,2.1950092421441774,5.822550831792976,3.1731885605544394,1.565122119877731,
1,6.61,4.044681836617853,2.2181146025878005,5.822550831792976,3.1897649634116614,1.836397798033181,
1,6.615,4.062174170309486,2.2181146025878005,5.845656192236599,3.205446021237478,2.0514075165534127,
1,6.62,4.078838013316076,2.241219963031424,5.868761552680222,3.2201465935724456,2.214317492827226,
1,6.625,4.093189288491034,2.2643253234750462,5.868761552680222,3.2338155608551045,2.3286210860458167,
1,6.63,4.1115508039961055,2.2874306839186693,5.891866913123845,3.2465008413313967,2.3985178529841074,
1,6.635,4.128759725092738,2.2874306839186693,5.914972273567468,3.257988875675628,2.4278077408965406,
1,6.64,4.141717389500927,2.310536044362292,5.914972273567468,3.268406590301862,2.420767962975879,
1,6.645,4.160688402918646,2.333641404805915,5.938077634011091,3.2777389334339193,2.3816477698413383,
1,6.65,4.178901861419756,2.356746765249538,5.961182994454714,3.2858995708301837,2.3140132937445137,
1,6.655,4.195829605156198,2.356746765249538,5.984288354898337,3.292922359195712,2.2221290894999526,
1,6.66,4.209180113927833,2.379852125693161,5.984288354898337,3.298887760641134,2.1097776536401054,
1,6.665,4.22821443872944,2.402957486136784,6.007393715341959,3.3039449051479846,1.980117911503522,
1,6.67,4.24394491774875,2.4260628465804066,6.030499075785582,3.3080792297244073,1.8367652881366145,
1,6.675,4.258787506285518,2.4260628465804066,6.030499075785582,3.3113221693637,1.6825655151564607,
1,6.68,4.276329357776746,2.4491682070240297,6.053604436229206,3.3137856919402826,1.5207104131990719,
1,6.685,4.294575332524119,2.472273567467653,6.076709796672828,3.3154500325851397,1.3532158401686212,
1,6.69,4.312037380431707,2.472273567467653,6.099815157116451,3.3163303130411665,1.182640114485978,
1,6.695,4.324992173360247,2.4953789279112755,6.099815157116451,3.3164655237286245,1.0109023501682293,
1,6.7,4.342765466048473,2.5184842883548986,6.1229205175600745,3.316139657108355,0.8402283907051576,
1,6.705,4.360170319280097,2.5184842883548986,6.146025878003697,3.3152166715526126,0.6715566903306059,
1,6.71,4.375134483153889,2.541589648798521,6.16913123844732,3.3137124892309457,0.5068717819452415,
1,6.715,4.392096964367552,2.5646950092421443,6.16913123844732,3.31175462059003,0.34690699880577835,
1,6.72,4.410159365561768,2.587800369685767,6.192236598890943,3.309309275796965,0.19251917793120465,
1,6.725,4.426831858085485,2.587800369685767,6.215341959334566,3.3063411652317276,0.04467397155807426,
1,6.73,4.440360387123813,2.61090573012939,6.215341959334566,3.303017533578909,-0.09648841980100863,
1,6.735,4.458821218208386,2.634011090573013,6.238447319778189,3.2993759176658415,-0.23031189586941658,
1,6.74,4.477016451956562,2.657116451016636,6.261552680221811,3.2953445447714875,-0.3567075498987798,
1,6.745,4.489426382499592,2.657116451016636,6.261552680221811,3.2908942240060197,-0.47569880644330326,
1,6.75,4.508029316892968,2.680221811460259,6.284658040665435,3.2863112795267524,-0.5868141345257115,
1,6.755,4.524946731802138,2.7033271719038816,6.3077634011090575,3.281350050712738,-0.6907961467959326,
1,6.76,4.541589838147921,2.7033271719038816,6.33086876155268,3.276175679603819,-0.7872432842779796,
1,6.765,4.556261741758457,2.7264325323475047,6.33086876155268,3.2707248962812954,-0.8767977861682229,
1,6.77,4.573851183795796,2.749537892791128,6.353974121996304,3.26517926512316,-0.9594198606630646,
1,6.775,4.590139447683066,2.7726432532347505,6.377079482439926,3.259443688315764,-1.0359583536682606,
1,6.78,4.6044989588047205,2.7726432532347505,6.377079482439926,3.2535639985811082,-1.1062376841404318,
1,6.785,4.6231821759400935,2.7957486136783736,6.400184842883549,3.247646381859833,-1.1711338102553905,
1,6.79,4.637173275412922,2.818853974121996,6.423290203327173,3.241635977423985,-1.2308499018342864,
1,6.795,4.652379757509148,2.818853974121996,6.446395563770795,3.2355555845722446,-1.2859791538104646,
1,6.8,4.669665299629461,2.8419593345656198,6.446395563770795,3.2295169450819303,-1.3367877556980985,
1,6.805,4.687306446788579,2.8650646950092424,6.469500924214418,3.223272278748302,-1.3838599015124815,
1,6.81,4.701399500561718,2.8650646950092424,6.492606284658041,3.216841760128222,-1.4275772703657457,
1,6.815,4.716542587999142,2.888170055452865,6.492606284658041,3.2103199924257892,-1.4680983109356947,
1,6.82,4.735073023649053,2.911275415896488,6.515711645101664,3.2036918518221253,-1.5058184228182985,
1,6.825,4.752095527040458,2.911275415896488,6.538817005545287,3.1967670916876987,-1.541337155353622,
