droplet,t,x
1,6.7,1.86192259334793
1,6.716666666666667,1.9184879065440994
1,6.733333333333333,1.9817331996023078
1,6.75,2.037189542662072
1,6.766666666666667,2.1007384790299297
1,6.783333333333333,2.1661206505402637
1,6.8,2.2227950099377387
1,6.816666666666666,2.283369264803127
1,6.833333333333333,2.3386698405180595
1,6.85,2.402166695252422
1,6.866666666666666,2.46581434317891
1,6.883333333333334,2.520240106640287
1,6.9,2.5851562441477447
1,6.916666666666667,2.6467170729610405
1,6.933333333333334,2.7042108040485027
1,6.95,2.7653531724228935
1,6.966666666666667,2.8232736202479045
1,6.983333333333333,2.8846715870706117
1,7.0,2.9496558046769144
1,7.016666666666667,3.0063267894160526
1,7.033333333333333,3.0689765025485913
1,7.05,3.1239580064119448
1,7.066666666666666,3.188099614116155
1,7.083333333333333,3.2516159793615045
1,7.1,3.3062833132703404
1,7.116666666666666,3.3701483383490163
1,7.133333333333334,3.4270460795296196
1,7.15,3.4880959227430135
1,7.166666666666667,3.5523326104431763
1,7.183333333333334,3.6069055979161853
1,7.2,3.6705120794344626
1,7.216666666666667,3.7330074833795055
1,7.233333333333333,3.789794521162205
1,7.25,3.8543104896778018
1,7.266666666666667,3.9086502376366123
1,7.283333333333333,3.9734970773411615
1,7.3,4.037465844059453
1,7.316666666666666,4.092231971162772
1,7.333333333333333,4.1570687724546405
1,7.35,4.221708250451271
1,7.366666666666666,4.275469846667947
1,7.383333333333334,4.340459407862606
1,7.4,4.40032910373105
1,7.416666666666667,4.459842909820002
1,7.433333333333334,4.524627260136448
1,7.45,4.578723216221302
1,7.466666666666667,4.6440570471800315
1,7.483333333333333,4.707542209543368
1,7.5,4.762289472667071
1,7.516666666666667,4.82594890147332
1,7.533333333333333,4.885163530156149
1,7.55,4.945410821236032
1,7.566666666666666,5.010194927197183
1,7.583333333333333,5.062515187177162
1,7.6,5.126228356809526
1,7.616666666666666,5.183887649690296
1,7.633333333333334,5.244772726994016
1,7.65,5.306124951772468
1,7.666666666666667,5.362858537982815
1,7.683333333333334,5.4267190181457705
1,7.7,5.483064049225489
1,7.716666666666667,5.546271669649303
1,7.733333333333333,5.609099246531081
1,7.75,5.66463264817144
1,7.766666666666667,5.727425096183024
1,7.783333333333333,5.786174181656478
1,7.8,5.846834715398088
1,7.816666666666666,5.9094689322981795
1,7.833333333333333,5.963326005139021
1,7.85,6.027019803994015
1,7.866666666666666,6.081325166983159
1,7.883333333333334,6.145698673615909
1,7.9,6.205325262945386
1,7.916666666666667,6.262447849802666
1,7.933333333333334,6.3261320969841925
1,7.95,6.379397640546089
1,7.966666666666667,6.443794300924663
1,7.983333333333333,6.5039052738971295
1,8.0,6.562087482487577
1,8.016666666666667,6.626124653583835
1,8.033333333333333,6.679749104658523
1,8.05,6.744020678054244
1,8.066666666666666,6.798728004316994
1,8.083333333333334,6.8618794325681955
1,8.1,6.925839458842724
1,8.116666666666667,6.979122920447495
1,8.133333333333333,7.043819094966928
1,8.15,7.097184060215483
1,8.166666666666666,7.161929715125797
1,8.183333333333334,7.22229825688354
1,8.2,7.279253438145619
1,8.216666666666667,7.343937316346218
1,8.233333333333333,7.397549580011555
1,8.25,7.461410847191471
1,8.266666666666667,7.522437773130934
1,8.283333333333333,7.57960842935122
1,8.3,7.643536166469665
1,8.316666666666666,7.698469762605192
1,8.333333333333334,7.760669742896276
1,8.35,7.816474378503294
1,8.366666666666667,7.876946725939456
1,8.383333333333333,7.941195812863429
1,8.4,7.995077336623166
1,8.416666666666666,8.05905293030542
1,8.433333333333334,8.114017994343364
1,8.45,8.17612769035973
1,8.466666666666667,8.23344835861773
1,8.483333333333333,8.294717089332877
1,8.5,8.357414063651053
1,8.516666666666667,8.412316170912804
1,8.533333333333333,8.475831722880072
1,8.55,8.5318836184252
1,8.566666666666666,8.59485162768486
1,8.583333333333334,8.658327084945396
1,8.6,8.712336300684482
1,8.616666666666667,8.775421150691612
1,8.633333333333333,8.828595196888545
1,8.65,8.89214503563576
1,8.666666666666666,8.946444020316768
1,8.683333333333334,9.009618456004086
1,8.7,9.068309914191525
1,8.716666666666667,9.127480332802696
1,8.733333333333333,9.187991877737021
1,8.75,9.24400402996663
1,8.766666666666667,9.307715951623935
1,8.783333333333333,9.361393904385022
1,8.8,9.425122404039127
1,8.816666666666666,9.483629382419132
1,8.833333333333334,9.54321613649634
1,8.85,9.60621952513221
1,8.866666666666667,9.659915753627459
1,8.883333333333333,9.723740335525196
1,8.9,9.777468771161283
1,8.916666666666666,9.84143864223888
1,8.933333333333334,9.901598300973932
1,8.95,9.958852630294194
1,8.966666666666667,10.023093449561125
1,8.983333333333333,10.075432144332991
1,9.0,10.139969981989264
1,9.016666666666667,10.194980751402827
1,9.033333333333333,10.256346188258364
1,9.05,10.31529456480186
1,9.066666666666666,10.374210035746664
1,9.083333333333334,10.437822263125495
1,9.1,10.491277753799732
1,9.116666666666667,10.554223137529126
1,9.133333333333333,10.607932523343255
1,9.15,10.671759506589561
1,9.166666666666666,10.72782288632324
1,9.183333333333334,10.788829383729595
1,9.2,10.848886044344798
1,9.216666666666667,10.906226354835617
1,9.233333333333333,10.96533473003124
1,9.25,11.02256296481078
1,9.266666666666667,11.085402882644011
1,9.283333333333333,11.138710604109882
1,9.3,11.201808056622387
1,9.316666666666666,11.256265176380985
1,9.333333333333334,11.318469695034644
1,9.35,11.37343585049311
1,9.366666666666667,11.43481389126608
1,9.383333333333333,11.48967492516987
1,9.4,11.551201282485717
1,9.416666666666666,11.612319900913642
1,9.433333333333334,11.66766949665201
1,9.45,11.726032140979783
1,9.466666666666667,11.78358802209708
1,9.483333333333333,11.84354082175219
1,9.5,11.899993506542632
1,9.516666666666667,11.960944040460078
1,9.533333333333333,12.01581124109854
1,9.55,12.077113971054398
1,9.566666666666666,12.132084089058848
1,9.583333333333334,12.194235736178744
1,9.6,12.247635753780786
1,9.616666666666667,12.3106107373775
1,9.633333333333333,12.363051316726132
1,9.65,12.424143477703314
1,9.666666666666666,12.478717156329312
