droplet,t,x
1,5.6,2.036932967852897
1,5.604,2.1452483184939326
1,5.608,2.248376971957511
1,5.612,2.3573743913656195
1,5.616,2.463776114505257
1,5.62,2.568846576911858
1,5.624,2.6774572825176866
1,5.628,2.7798925892152266
1,5.632,2.8895271403172433
1,5.636,2.995307173844313
1,5.64,3.100955352208342
1,5.644,3.2092255221347163
1,5.648,3.3122037297494393
1,5.652,3.4207073056990445
1,5.656,3.525802138661424
1,5.66,3.632480628090289
1,5.664,3.737981319214331
1,5.668,3.8425038063792454
1,5.672,3.9502064299443767
1,5.676,4.053918788470231
1,5.68,4.160445365480226
1,5.684,4.264579080115666
1,5.688,4.37164462231904
1,5.692,4.475726987307667
1,5.696,4.581746740753412
1,5.7,4.688440868746495
1,5.704,4.793363484101264
1,5.708,4.900589135971462
1,5.712,5.002953077682941
1,5.716,5.110218025803644
1,5.72,5.217786409096266
1,5.724,5.321547556648941
1,5.728,5.427777407110874
1,5.732,5.530762274147649
1,5.736,5.63659747209543
1,5.74,5.742791418398897
1,5.744,5.848869411294467
1,5.748,5.952753106875967
1,5.752,6.058777259555385
1,5.756,6.162416975978759
1,5.76,6.2701723985890645
1,5.764,6.3732270197914715
1,5.768,6.48045679365382
1,5.772,6.585912293635511
1,5.776,6.690134516255119
1,5.78,6.797506746860338
1,5.784,6.9015349939985295
1,5.788,7.008320932696954
1,5.792,7.111895029598416
1,5.796,7.2200313814548585
1,5.8,7.321217860312981
1,5.804,7.42923202219651
1,5.808,7.533717491456473
1,5.812,7.638402744661685
1,5.816,7.745208707487602
1,5.82,7.8479033747022
1,5.824,7.954677396699959
1,5.828,8.057852440447926
1,5.832,8.16373993190538
1,5.836,8.266243798546553
1,5.84,8.3728447667144
1,5.844,8.47511358745545
1,5.848,8.581654204485677
1,5.852,8.683359343580522
1,5.856,8.790022123784444
1,5.86,8.891823497226039
1,5.864,8.998846014980431
1,5.868,9.100368104946044
1,5.872,9.207007566524153
1,5.876,9.308448687409895
1,5.88,9.415428174901125
1,5.884,9.516238885140917
1,5.888,9.623104271272323
1,5.892,9.724211761714868
1,5.896,9.826479373717245
1,5.9,9.930172696454077
1,5.904,10.030928881913608
1,5.908,10.136811729458
1,5.912,10.237569369591546
1,5.916,10.343620720427845
1,5.92,10.442931694987772
1,5.924,10.54846264031598
1,5.928,10.649412377147417
1,5.932,10.74951500384805
1,5.936,10.855227656673623
1,5.94,10.954373651065108
1,5.944,11.059021244008422
1,5.948,11.15888858760186
1,5.952,11.258760173333446
1,5.956,11.364658757693904
1,5.96,11.46317025981205
1,5.964,11.567485396916593
1,5.968,11.667827088155864
1,5.972,11.766971317352564
1,5.976,11.87118011210444
1,5.98,11.969744826662073
1,5.984,12.068679845228518
1,5.988,12.172788479969329
1,5.992,12.272133380148317
1,5.996,12.371050210641219
1,6.0,12.4737418296478
1,6.004,12.571607545164866
1,6.008,12.67192258689371
1,6.012,12.775033357109143
1,6.016,12.873835850585772
1,6.02,12.974093008619217
1,6.024,13.075522459248461
1,6.028,13.174595379845751
1,6.032,13.272599011465212
1,6.036,13.375099166362768
1,6.04,13.474712230215827
1,6.044,13.57268087136947
1,6.048,13.675482177543431
1,6.052,13.773781869809074
1,6.056,13.872291701299643
1,6.06,13.974608290847915
1,6.064,14.072700092551749
1,6.068,14.171149074305077
1,6.072,14.27153327493439
1,6.076,14.371961366992254
1,6.08,14.469940685008531
1,6.084,14.566405600930503
1,6.088,14.666953992899735
1,6.092,14.765951683992686
1,6.096,14.86534534428895
1,6.1,14.965840749427858
1,6.104,15.065777323161289
1,6.108,15.16357767178921
1,6.112,15.260927258193446
1,6.116,15.362834022604682
1,6.12,15.461015864392817
1,6.124,15.559567173221621
1,6.128,15.65978496518433
1,6.132,15.75889609877112
1,6.136,15.856794756015045
1,6.14,15.954175792413059
1,6.144,16.05434103095925
1,6.148,16.15301131728729
1,6.152,16.25108916268476
1,6.156,16.34840005655594
1,6.16,16.44782058866031
