droplet,t,x
1,10.1,1.8035373225431703
1,10.15,1.8444609898369044
1,10.2,1.8862625948623812
1,10.25,1.9278694391457938
1,10.3,1.9680931952496277
1,10.35,2.010200075806801
1,10.4,2.0500217020775464
1,10.45,2.0935106389729725
1,10.5,2.1339687239980183
1,10.55,2.1719360630516986
1,10.6,2.211476442068973
1,10.65,2.252898481068104
1,10.7,2.2956438436876483
1,10.75,2.33501486842133
1,10.8,2.3746074716232854
1,10.85,2.416212667458435
1,10.9,2.4596828716908576
1,10.95,2.501288870429904
1,11.0,2.541076408696203
1,11.05,2.581554226628923
1,11.1,2.6221630786090633
1,11.15,2.6612957187371453
1,11.2,2.699918751503785
1,11.25,2.7429909279622464
1,11.3,2.7823537588850407
1,11.35,2.8219195813253477
1,11.4,2.86065680537288
1,11.45,2.9046153566584376
1,11.5,2.9440615062997506
1,11.55,2.983399293607187
1,11.6,3.023267542187659
1,11.65,3.0665674559065246
1,11.7,3.106045222835628
1,11.75,3.1459049518645994
1,11.8,3.184982888120989
1,11.85,3.2295608561460005
1,11.9,3.26859100114914
1,11.95,3.307782366817474
1,12.0,3.347311555730691
1,12.05,3.3903504082408973
1,12.1,3.430068620400335
1,12.15,3.4698357561754816
1,12.2,3.509609579552098
1,12.25,3.5532756050681957
1,12.3,3.5925956781307624
1,12.35,3.6323640583203813
1,12.4,3.671110655616147
1,12.45,3.7147317372270194
1,12.5,3.754140007294949
1,12.55,3.7935925284353886
1,12.6,3.8326466777520056
1,12.65,3.8760972347600293
1,12.7,3.914667718939427
1,12.75,3.953308949594239
1,12.8,3.993634513091194
1,12.85,4.032638302167393
1,12.9,4.07164558531746
1,12.95,4.110784299169555
1,13.0,4.151496106471337
1,13.05,4.190782523126064
1,13.1,4.229342027413818
1,13.15,4.269708674198018
1,13.2,4.308229752846478
1,13.25,4.35786512495548
1,13.3,4.388972806998946
1,13.35,4.410604517066917
1,13.4,4.430677155187661
1,13.45,4.4649527171728085
1,13.5,4.505342886057771
1,13.55,4.5485627616171245
1,13.6,4.587018149595596
1,13.65,4.626508967314945
1,13.7,4.666121723716044
1,13.75,4.706241120629513
1,13.8,4.745167456043187
1,13.85,4.782620568684593
1,13.9,4.822484533484133
1,13.95,4.8612172344264035
1,14.0,4.898557112910344
1,14.05,4.938243808099804
1,14.1,4.976516755860554
1,14.15,5.013205405470413
1,14.2,5.052675568156935
1,14.25,5.091069350964767
