droplet,t,x
1,6.0,2.1057787109581088
1,6.05,2.230938003579395
1,6.1,2.358636806228527
1,6.15,2.484531169934019
1,6.2,2.6128044206796233
1,6.25,2.738114858765115
1,6.3,2.861541540293054
1,6.35,2.9883098525434155
1,6.4,3.111856983493494
1,6.45,3.239692346498883
1,6.5,3.3631677324997082
1,6.55,3.4862030484233983
1,6.6,3.6128430493747827
1,6.65,3.7351990303741633
1,6.7,3.858446714375481
1,6.75,3.9835775150418313
1,6.8,4.105754161825029
1,6.85,4.227347452968685
1,6.9,4.351781517889649
1,6.95,4.472163441159328
1,7.0,4.591975920272477
1,7.05,4.712364293991804
1,7.1,4.829742148465382
1,7.15,4.951773450303545
1,7.2,5.067795054578004
1,7.25,5.187002307782926
1,7.3,5.3042546125021595
1,7.35,5.419533916198706
1,7.4,5.535274656939446
1,7.45,5.651015397680188
1,7.5,5.766016056266431
1,7.55,5.88110492702179
1,7.6,5.996467464481111
1,7.65,6.110650000860188
1,7.7,6.224239399654344
1,7.75,6.335421546054807
1,7.8,6.44952462154674
1,7.85,6.560957744309895
1,7.9,6.672859484341094
1,7.95,6.78753566872594
1,8.0,6.900551120319946
1,8.05,7.010235621436353
1,8.1,7.119258261287031
1,8.15,7.228062932332975
1,8.2,7.341318182240928
1,8.25,7.4502824639300735
1,8.3,7.5569736089034425
1,8.35,7.667433912255004
1,8.4,7.7792974170613896
1,8.45,7.88468140108299
1,8.5,7.992792678308017
1,8.55,8.104543043114868
1,8.6,8.208445434115252
1,8.65,8.317126847649815
1,8.7,8.426462499867307
1,8.75,8.529098761445978
1,8.8,8.639261324842522
1,8.85,8.743274558116966
1,8.9,8.849839857615782
1,8.95,8.95842307416182
1,9.0,9.060117218476574
1,9.05,9.169467033266146
1,9.1,9.273590724086084
1,9.15,9.380564578522746
1,9.2,9.483322946264005
1,9.25,9.590610767861758
1,9.3,9.69702182734107
1,9.35,9.798929661322697
1,9.4,9.90571621281365
1,9.45,10.007194919150484
1,9.5,10.113762106831114
1,9.55,10.215810553605047
1,9.6,10.321266274438655
1,9.65,10.423278168253493
1,9.7,10.525481055882885
1,9.75,10.630785583059817
1,9.8,10.731546735412968
1,9.85,10.837134451329737
1,9.9,10.934882759597338
1,9.95,11.041775993301062
1,10.0,11.14052784809369
1,10.05,11.241916598669238
1,10.1,11.346382845107563
1,10.15,11.44290663476397
1,10.2,11.544373381463028
1,10.25,11.647849548176344
1,10.3,11.743683040075277
1,10.35,11.845138527957495
1,10.4,11.94833052976472
1,10.45,12.0445317141342
1,10.5,12.144330463387941
1,10.55,12.245544544742277
1,10.6,12.343320510799723
1,10.65,12.440044109763607
1,10.7,12.538772287491131
1,10.75,12.640378600601174
1,10.8,12.736990333539426
1,10.85,12.833433737142824
1,10.9,12.932374605279401
1,10.95,13.033032010273093
1,11.0,13.130049953345395
1,11.05,13.22603499526956
1,11.1,13.324733542080542
1,11.15,13.424592832249884
1,11.2,13.51912706731889
1,11.25,13.616115565428904
1,11.3,13.711470475540468
1,11.35,13.805459442705098
1,11.4,13.904450536565012
1,11.45,14.00391526541378
1,11.5,14.09803516090941
1,11.55,14.194056604652213
1,11.6,14.288332750989982
1,11.65,14.381757727607448
1,11.7,14.475917322027442
1,11.75,14.570573839654017
1,11.8,14.665687729524105
1,11.85,14.761339580944783
1,11.9,14.85603827300113
1,11.95,14.951398379929346
1,12.0,15.046295047744616
1,12.05,15.14034657769144
1,12.1,15.23441847245851
1,12.15,15.327579250950691
1,12.2,15.420614122658145
1,12.25,15.513260358604976
1,12.3,15.605867308740468
1,12.35,15.698430369798038
1,12.4,15.791006324906114
1,12.45,15.883393221324981
1,12.5,15.975912796119568
1,12.55,16.068341022338057
1,12.6,16.16077176304551
1,12.65,16.25011367338414
1,12.7,16.342786222542024
1,12.75,16.434543257198424
1,12.8,16.522826964889727
1,12.85,16.61119909932069
1,12.9,16.702107695428904
1,12.95,16.792646483783013
1,13.0,16.8816776145583
1,13.05,16.973717570951028
1,13.1,17.064647443708044
1,13.15,17.153734897483325
1,13.2,17.24437993717205
1,13.25,17.33190837740602
1,13.3,17.417835896247272
1,13.35,17.508837619037145
1,13.4,17.59893024092053
1,13.45,17.688850870672116
1,13.5,17.777959738469605
1,13.55,17.86435620114735
1,13.6,17.95009635798139
1,13.65,18.040069728496352
1,13.7,18.130377764328163
1,13.75,18.218142786980724
1,13.8,18.303991301529884
1,13.85,18.389296758626383
1,13.9,18.478750130674694
1,13.95,18.568176822627862
1,14.0,18.656651503611346
1,14.05,18.74064692328607
1,14.1,18.82695643164033
1,14.15,18.91542860187766
1,14.2,19.00339446164678
1,14.25,19.090243133951248
1,14.3,19.17469653563159
1,14.35,19.262493611259373
1,14.4,19.35036506326852
1,14.45,19.432199599459288
1,14.5,19.520187534904647
1,14.55,19.608593465862537
1,14.6,19.69366889108338
1,14.65,19.778430770306443
1,14.7,19.86647883383788
1,14.75,19.95307622001828
1,14.8,20.037005288535696
1,14.85,20.123277744133787
1,14.9,20.210667428901903
1,14.95,20.293793726359073
1,15.0,20.379054776873197
1,15.05,20.467054883002383
1,15.1,20.550317838538287
1,15.15,20.63434203680053
1,15.2,20.72207377901927
1,15.25,20.80454093787786
1,15.3,20.887854502731823
1,15.35,20.976648815446147
1,15.4,21.05827232329037
1,15.45,21.14224923151728
1,15.5,21.23065808678914
1,15.55,21.312355188989173
1,15.6,21.39578744557537
1,15.65,21.482176508583372
1,15.7,21.566115637882252
1,15.75,21.650083092714148
