droplet,t,x,v,t_int_exp
1,5.804,7.42923202219651,26.304332148887134,
1,5.808,7.533717491456473,26.2881915871851,
1,5.812,7.638402744661685,26.26990934726448,
1,5.816,7.745208707487602,26.24935321663124,
1,5.82,7.8479033747022,26.22481508026116,
1,5.824,7.954677396699959,26.201821338042194,
1,5.828,8.057852440447926,26.177077074472617,
1,5.832,8.16373993190538,26.155158805770952,
1,5.836,8.266243798546553,26.134505833140445,
1,5.84,8.3728447667144,26.11862800554632,
1,5.844,8.47511358745545,26.102896543064215,
1,5.848,8.581654204485677,26.09118981403929,
1,5.852,8.683359343580522,26.078813711788204,
1,5.856,8.790022123784444,26.06977976808672,
1,5.86,8.891823497226039,26.057656203465253,
1,5.864,8.998846014980431,26.045549184467692,
1,5.868,9.100368104946044,26.026844055994655,
1,5.872,9.207007566524153,26.006291390245043,
1,5.876,9.308448687409896,25.978297186813915,
1,5.88,9.415428174901123,25.94772693904783,
1,5.884,9.516238885140917,25.909555999815467,
1,5.888,9.623104271272323,25.871516221370698,
1,5.892,9.724211761714868,25.83002690418967,
1,5.896,9.826479373717245,25.795027335385573,
1,5.9,9.930172696454076,25.767604178388424,
1,5.904,10.030928881913608,25.74519511563853,
1,5.908,10.136811729458,25.727729559104933,
1,5.912,10.237569369591546,25.706237519663812,
1,5.916,10.343620720427843,25.68363914683325,
1,5.92,10.442931694987772,25.65458159032403,
1,5.924,10.54846264031598,25.62698305524778,
1,5.928,10.649412377147415,25.59552922563807,
1,5.932,10.74951500384805,25.566999435225096,
1,5.936,10.855227656673623,25.54244345501815,
1,5.94,10.954373651065108,25.51424859763994,
1,5.944,11.059021244008422,25.48897489469663,
1,5.948,11.15888858760186,25.4615375030118,
1,5.952,11.258760173333446,25.43761898097571,
1,5.956,11.364658757693904,25.414986230565145,
1,5.96,11.46317025981205,25.383890709134256,
1,5.964,11.567485396916592,25.351539306960866,
1,5.968,11.667827088155864,25.313041513727146,
1,5.972,11.766971317352564,25.27514328424414,
1,5.976,11.87118011210444,25.24094870052956,
1,5.98,11.969744826662073,25.20573522285109,
1,5.984,12.068679845228518,25.177762877634972,
1,5.988,12.172788479969327,25.15625516347696,
