droplet,t,x,v,t_int_exp
1,7.5,4.216933160197835,3.4570449160572387,
1,7.516666666666667,4.276247450021047,3.456898464811601,
1,7.533333333333333,4.333363827092078,3.4566883807569377,
1,7.55,4.391553999144549,3.456411035404116,
1,7.566666666666666,4.447305254819118,3.4561268116755226,
1,7.583333333333333,4.506681269240378,3.45584145827807,
1,7.6,4.562288576113972,3.4555549878721896,
1,7.616666666666666,4.620010822359654,3.4553102640704463,
1,7.633333333333334,4.677966359236092,3.4551056263246482,
1,7.65,4.735537624577769,3.4549283941329927,
1,7.666666666666667,4.793146892337825,3.4547963422712997,
1,7.683333333333334,4.8510163042774685,3.454686888152523,
1,7.7,4.908425860423761,3.4546690690728146,
1,7.716666666666667,4.966517026407931,3.454694763753778,
1,7.733333333333333,5.02328747556512,3.454776596503212,
1,7.75,5.081804702789502,3.4549730595041335,
1,7.766666666666667,5.138775166894663,3.4552618321374413,
1,7.783333333333333,5.194398380424258,3.4556533903273405,
1,7.8,5.254073869076778,3.4561763859569092,
1,7.816666666666666,5.309655852732855,3.4567745780984453,
1,7.833333333333333,5.369097944664013,3.4575006428459254,
1,7.85,5.42458439924373,3.4582635914048634,
1,7.866666666666666,5.484793048613329,3.459157367761999,
1,7.883333333333334,5.540497874070863,3.460073816202041,
1,7.9,5.600319850831444,3.4610709795009056,
1,7.916666666666667,5.655497011588761,3.4621007833324775,
1,7.933333333333334,5.715268673609811,3.463211571836306,
1,7.95,5.769349813686587,3.4643257085843286,
1,7.966666666666667,5.830964596611767,3.4655402778944344,
1,7.983333333333333,5.884802172469167,3.4666767490281707,
1,8.0,5.946814285099018,3.4678376712279,
1,8.016666666666667,6.001183192938047,3.4688903433361533,
1,8.033333333333333,6.062257985702904,3.469942252487768,
1,8.05,6.117256727130776,3.470869531525385,
1,8.066666666666666,6.177953861922017,3.471724630499717,
1,8.083333333333334,6.2330674275366365,3.4724173678243635,
1,8.1,6.293055464213768,3.4730385223513385,
1,8.116666666666667,6.349427888647703,3.4734899272962445,
1,8.133333333333333,6.409395081735978,3.473795440956602,
1,8.15,6.464886191769579,3.473888841313324,
1,8.166666666666666,6.525118279770082,3.473849561059322,
1,8.183333333333334,6.581862331223082,3.47359294202986,
1,8.2,6.641778477037125,3.4731513109583747,
1,8.216666666666667,6.700013596056404,3.4724855035859097,
1,8.233333333333333,6.758756226722712,3.471663380053331,
1,8.25,6.815778003298298,3.4706792343466373,
1,8.266666666666667,6.873219584083423,3.469602471529173,
1,8.283333333333333,6.930782910138187,3.468475357625385,
1,8.3,6.987895879952196,3.4673150857292234,
1,8.316666666666666,7.043166680917328,3.466133749869551,
1,8.333333333333334,7.103313893265138,3.464953529518136,
1,8.35,7.1614494968354165,3.4637338524714862,
1,8.366666666666667,7.218627320279003,3.4624780112308957,
1,8.383333333333333,7.276988347202284,3.4612185263777073,
1,8.4,7.334229631033401,3.4599527693052736,
1,8.416666666666666,7.389681072675527,3.458670532868464,
1,8.433333333333334,7.449256607689761,3.4574495816223645,
1,8.45,7.5054033584210895,3.456194862340127,
1,8.466666666666667,7.564900149262947,3.4549593131255794,
1,8.483333333333333,7.6203933913193636,3.4536736173045464,
1,8.5,7.680465331938243,3.452393602034703,
1,8.516666666666667,7.734146911838864,3.451078847934445,
1,8.533333333333333,7.794918072022457,3.4497633726786834,
1,8.55,7.850585864222387,3.448372955354232,
1,8.566666666666666,7.9102395808691055,3.4469678897408587,
1,8.583333333333334,7.964447357004814,3.4454812447979104,
1,8.6,8.025128805456346,3.4439563573783856,
1,8.616666666666667,8.078735185117054,3.442341010389065,
1,8.633333333333333,8.140041977977887,3.440674976130338,
1,8.65,8.19400485198035,3.4388812284481802,
1,8.666666666666666,8.25434573254912,3.437007910683434,
1,8.683333333333334,8.309044200943099,3.435028826795832,
1,8.7,8.369525917362708,3.4329319371624054,
1,8.716666666666667,8.423872419793414,3.4306940082153865,
1,8.733333333333333,8.483896259126075,3.4283452249881314,
1,8.75,8.538694344358953,3.4258876485052303,
1,8.766666666666667,8.59767785074408,3.4233627453527036,
1,8.783333333333333,8.654695113936036,3.4207109288429605,
1,8.8,8.712952019796013,3.417985555522794,
1,8.816666666666666,8.767354343268247,3.415253018400669,
1,8.833333333333334,8.825141219491968,3.4124993609026424,
1,8.85,8.881907439272279,3.409778297046755,
1,8.866666666666667,8.938975518584636,3.407049059393821,
1,8.883333333333333,8.995577363840933,3.40442121237707,
1,8.9,9.050801632009374,3.4018288574469246,
1,8.916666666666666,9.111171053071358,3.3993699398796333,
1,8.933333333333334,9.164174046745538,3.396964365625819,
1,8.95,9.2232980784944,3.394760731294557,
1,8.966666666666667,9.27895515955058,3.3927020619373414,
1,8.983333333333333,9.332018897397797,3.39085407532967,
1,9.0,9.390276592028291,3.3892583592886587,
1,9.016666666666667,9.44631479247515,3.387845780428491,
1,9.033333333333331,9.504593611973483,3.3866508320044053,
1,9.05,9.557897179415338,3.3856255911897746,
1,9.066666666666666,9.616614674653672,3.384827400761727,
1,9.083333333333334,9.671840893109506,3.3842165056372036,
1,9.1,9.72755354140923,3.3837943291684254,
1,9.116666666666667,9.785369068286014,3.3835483946615077,
1,9.133333333333333,9.839437352585978,3.383453813858395,
1,9.15,9.898239260098086,3.3835382635701263,
1,9.166666666666666,9.95139899956647,3.3836867577085132,
1,9.183333333333334,10.01073821967755,3.3839756261514684,
1,9.2,10.06539923047649,3.384281051923163,
1,9.216666666666669,10.12359210246138,3.3846353752330165,
1,9.233333333333333,10.180134596488038,3.3849894452365383,
1,9.25,10.234574609622602,3.3853302197562782,
1,9.266666666666667,10.2925586218996,3.385653259748408,
1,9.283333333333331,10.347240622645698,3.3859246815241284,
1,9.3,10.406320986175736,3.3861497851276776,
1,9.316666666666666,10.460858912414452,3.386220392956063,
1,9.333333333333334,10.521436187301248,3.3861804305514864,
1,9.35,10.57361358149556,3.385995539442887,
1,9.366666666666667,10.633564474222627,3.3857545193505354,
1,9.383333333333333,10.688206619562454,3.3853474179082816,
1,9.4,10.743754012592264,3.384831349804345,
1,9.416666666666666,10.800329415908266,3.3842391949682957,
1,9.433333333333334,10.857532587293388,3.3835082951339066,
1,9.45,10.914861177386744,3.3827123860994317,
1,9.466666666666669,10.969504708011424,3.381765881661431,
1,9.483333333333333,11.029210658377949,3.3807511577869205,
1,9.5,11.082065240542564,3.379635745745677,
1,9.516666666666667,11.140799473730748,3.378521585286163,
1,9.533333333333331,11.195881415438228,3.3773604922676768,
1,9.55,11.25194810939211,3.3762086709249854,
1,9.566666666666666,11.30829198968322,3.3751106066773477,
1,9.583333333333334,11.362464479556332,3.374025503926078,
1,9.6,11.422933448171827,3.373036114044492,
1,9.616666666666667,11.475021308585047,3.372014694877319,
1,9.633333333333333,11.533380859229611,3.3711270583112176,
1,9.65,11.589447813446128,3.3702532752106693,
1,9.666666666666666,11.644610191469072,3.3694151581733585,
1,9.683333333333334,11.700924193263834,3.368585305005958,
1,9.7,11.755471211744156,3.367721276911137,
1,9.716666666666669,11.814797846601556,3.366821974373452,
1,9.733333333333333,11.868485184863845,3.3657978034236975,
1,9.75,11.922837042171857,3.3648010982258385,
1,9.766666666666667,11.980993822412769,3.363856445191013,
1,9.783333333333331,12.03705095054698,3.3629548971030143,
1,9.8,12.094445647284529,3.362110901749381,
1,9.816666666666666,12.148646165654592,3.3610905820942176,
1,9.833333333333334,12.207351055765448,3.3599487073269363,
1,9.85,12.260341728725797,3.3587844127498028,
1,9.866666666666667,12.319765512150424,3.357597014033847,
1,9.883333333333333,12.374357175015936,3.3563215053436504,
1,9.9,12.427695526813483,3.3550003530160684,
1,9.916666666666666,12.4862940728149,3.3536518467622676,
1,9.933333333333334,12.540610620773252,3.3522398400690854,
1,9.95,12.59962514473964,3.350786993528987,
1,9.966666666666669,12.65255968895793,3.349280357229936,
1,9.983333333333333,12.708310789588978,3.347798074966013,
1,10.0,12.764285053616211,3.346297572954843,
1,10.016666666666667,12.81908332540677,3.3447469277442687,
1,10.033333333333331,12.878402767415608,3.3431737750351043,
1,10.05,12.930303313154882,3.3415223558370015,
1,10.066666666666666,12.988977358799165,3.339896611126634,
1,10.083333333333334,13.043362843300464,3.3382191121511813,
1,10.1,13.097091249327466,3.3365551745488866,
1,10.116666666666667,13.155415976863653,3.3349176384414987,
1,10.133333333333333,13.207965437368475,3.333225937216243,
1,10.15,13.268102141586576,3.331576109546852,
1,10.166666666666666,13.320961691603848,3.329867980630071,
1,10.183333333333334,13.374729337206231,3.328183614014475,
1,10.2,13.433180815129727,3.326558230049312,
1,10.216666666666669,13.486448482269523,3.324902581548795,
1,10.233333333333333,13.544792597879502,3.323323726438307,
1,10.25,13.598064254282663,3.3217335334944655,
1,10.266666666666667,13.651309768400088,3.320209306739785,
1,10.283333333333331,13.710095772543063,3.318748625978898,
1,10.3,13.76252847181788,3.3173042090248512,
1,10.316666666666666,13.819410840728612,3.315953924755509,
1,10.333333333333334,13.873029115442003,3.314632152732464,
1,10.35,13.928009362135464,3.313387728528139,
1,10.366666666666667,13.984026090432812,3.3121561001659323,
1,10.383333333333333,14.039105817044204,3.3109236511825144,
1,10.4,14.094500555119204,3.3096858356276373,
