droplet,t,x,x_rec,x_adv,v,a,t_int_exp
6,109.925,30.021836167933063,28.505535055350556,31.480627306273064,7.023683941530645,-0.538542955007004,20.105000000000004
6,109.93,30.064502026235733,28.551660516605168,31.50369003690037,7.020732261438099,-0.5520247906009572,20.105000000000004
6,109.935,30.09674982513512,28.551660516605168,31.595940959409592,7.016410697190604,-0.5672066247636768,20.105000000000004
6,109.94,30.128603390817684,28.620848708487085,31.572878228782287,7.01233994539632,-0.5750943363178632,20.105000000000004
6,109.945,30.163974002943835,28.620848708487085,31.665129151291517,7.0089526429893025,-0.5811336382187069,20.105000000000004
6,109.95,30.19558278924939,28.690036900369005,31.642066420664207,7.004493615235621,-0.5891689943431151,20.105000000000004
6,109.955,30.233610422551717,28.690036900369005,31.73431734317343,7.000911198416724,-0.5948428433561058,20.105000000000004
6,109.96,30.26531767988507,28.75922509225092,31.73431734317343,6.996921540138145,-0.599212013608034,20.105000000000004
6,109.965,30.304037473963326,28.782287822878228,31.75738007380074,6.993590711692919,-0.5990408971891825,20.105000000000004
6,109.97,30.335002266257323,28.828413284132843,31.80350553505535,6.990163687972004,-0.5998022077117953,20.105000000000004
6,109.975,30.37658603094152,28.85147601476015,31.826568265682656,6.9874557573948115,-0.5996685809673094,20.105000000000004
6,109.98,30.40435190376025,28.89760147601476,31.872693726937268,6.984264305501369,-0.597060324578958,20.105000000000004
6,109.985,30.443662485456905,28.920664206642066,31.895756457564577,6.982374292979708,-0.5946148191847106,20.105000000000004
6,109.99,30.473564903761837,28.96678966789668,31.94188191881919,6.978998488126886,-0.5949317624400988,20.105000000000004
6,109.995,30.51314071702252,28.989852398523983,31.96494464944649,6.976862387727303,-0.5912757019665883,20.105000000000004
6,110.0,30.54465943249454,29.0359778597786,32.011070110701105,6.973326736065909,-0.5886263705230164,20.105000000000004
6,110.005,30.582439177992285,29.059040590405903,32.034132841328415,6.971104747881736,-0.5819994812266378,20.105000000000004
6,110.01,30.61673717889802,29.10516605166052,32.080258302583026,6.967720512747083,-0.5819291155275195,20.105000000000004
6,110.015,30.65169247169128,29.128228782287824,32.103321033210335,6.964839087380542,-0.5769775167818695,20.105000000000004
6,110.02,30.686146492914236,29.174354243542435,32.14944649446495,6.961581358822251,-0.5724220511173256,20.105000000000004
6,110.025,30.721005120108305,29.19741697416974,32.17250922509225,6.958725582791082,-0.5677674281133914,20.105000000000004
6,110.03,30.75582340666114,29.24354243542436,32.21863468634686,6.9560367159050465,-0.5625978693330329,20.105000000000004
6,110.035,30.790616558384336,29.26660516605166,32.24169741697417,6.953266770243754,-0.558509597976016,20.105000000000004
6,110.04,30.82489732463689,29.312730627306276,32.28782287822878,6.9507045296113805,-0.5536600306211378,20.105000000000004
6,110.045,30.859875194673872,29.33579335793358,32.31088560885609,6.948265943685258,-0.5501841126004783,20.105000000000004
6,110.05,30.894122871919688,29.381918819188197,32.3570110701107,6.945792979970233,-0.5438530982407217,20.105000000000004
6,110.055,30.929172848764814,29.4049815498155,32.38007380073801,6.9436739216349785,-0.5380452544887676,20.105000000000004
6,110.06,30.96378644543652,29.45110701107011,32.42619926199262,6.9411381475346445,-0.5332783860078278,20.105000000000004
6,110.065,30.99849520429204,29.474169741697416,32.449261992619924,6.939126582547838,-0.5271955814715573,20.105000000000004
6,110.07,31.035626113880998,29.520295202952028,32.495387453874535,6.937305011123568,-0.5219963717656491,20.105000000000004
6,110.075,31.06804144100236,29.543357933579337,32.518450184501845,6.934615076240613,-0.5182325774872526,20.105000000000004
6,110.08,31.10461501304964,29.589483394833948,32.564575645756456,6.932945109813493,-0.5110716376365158,20.105000000000004
6,110.085,31.13722963288428,29.61254612546125,32.587638376383765,6.930597578724244,-0.5074450153956456,20.105000000000004
6,110.09,31.171597146329734,29.658671586715865,32.63376383763838,6.928411817072176,-0.5008746319950698,20.105000000000004
6,110.095,31.2064178247662,29.68173431734317,32.656826568265686,6.92626474282101,-0.49309493311919006,20.105000000000004
6,110.1,31.24078533821166,29.727859778597782,32.7029520295203,6.923760654954776,-0.49084463246885773,20.105000000000004
6,110.105,31.27560113900192,29.75092250922509,32.7260147601476,6.9211001447224945,-0.4856209981273262,20.105000000000004
6,110.11,31.30986386829744,29.797047970479703,32.77214022140221,6.918852059067028,-0.4779750983772351,20.105000000000004
6,110.115,31.34479420853004,29.82011070110701,32.79520295202952,6.916027387395913,-0.47527153608115763,20.105000000000004
6,110.12,31.381192496762225,29.866236162361623,32.84132841328413,6.91350679875332,-0.471661098428624,20.105000000000004
6,110.125,31.413911950264687,29.88929889298893,32.86439114391144,6.910252622457751,-0.4737153543156586,20.105000000000004
6,110.13,31.45035383603373,29.93542435424354,32.91051660516605,6.908043648117594,-0.47056023844102496,20.105000000000004
